,window2,climate_classification,emmean,lower.HPD,upper.HPD,window
1,daily_median,Subtropical,0.970209846,0.742325323,1.197677622,Daily
2,daily_median,Temperate,0.447270863,0.305820724,0.59940522,Daily
3,daily_median,Tropical,0.858040373,0.670530978,1.085661437,Daily
4,weekly_median,Subtropical,2.288699233,1.752679144,2.793261848,Weekly
5,weekly_median,Temperate,1.220037481,0.820835822,1.591007781,Weekly
6,weekly_median,Tropical,2.0136138,1.566552628,2.485119152,Weekly
7,biweekly_median,Subtropical,3.045586264,2.400913636,3.758225267,Biweekly
8,biweekly_median,Temperate,1.70514553,1.221630581,2.224635306,Biweekly
9,biweekly_median,Tropical,2.70074871,2.103544533,3.331701823,Biweekly
10,monthly_median,Subtropical,4.193062029,3.276126523,5.167424394,Monthly
11,monthly_median,Temperate,2.65227524,1.835601204,3.416236261,Monthly
12,monthly_median,Tropical,3.693682746,2.902706873,4.579715064,Monthly
13,annual_median,Subtropical,10.72719076,8.86058487,12.44880421,Annual
14,annual_median,Temperate,11.21977001,8.80044745,13.72981874,Annual
15,annual_median,Tropical,8.791495861,7.340376411,10.25387476,Annual
16,daily_ninetieth_perc,Subtropical,2.130320579,1.598776757,2.697265054,Daily
17,daily_ninetieth_perc,Temperate,1.421274926,0.952662503,1.906627983,Daily
18,daily_ninetieth_perc,Tropical,1.974362748,1.51000992,2.519536312,Daily
19,weekly_ninetieth_perc,Subtropical,4.281799341,3.108293103,5.483446697,Weekly
20,weekly_ninetieth_perc,Temperate,2.702522117,1.792078486,3.662386461,Weekly
21,weekly_ninetieth_perc,Tropical,3.859245494,2.788041978,4.969908618,Weekly
22,biweekly_ninetieth_perc,Subtropical,5.318583954,4.049785122,6.698995677,Biweekly
23,biweekly_ninetieth_perc,Temperate,3.536579616,2.369485542,4.687921575,Biweekly
24,biweekly_ninetieth_perc,Tropical,4.79794818,3.582675666,6.011297907,Biweekly
25,monthly_ninetieth_perc,Subtropical,6.350201924,5.007317707,7.869996802,Monthly
26,monthly_ninetieth_perc,Temperate,4.976678824,3.408671774,6.444866551,Monthly
27,monthly_ninetieth_perc,Tropical,5.637207177,4.382680669,6.999193423,Monthly
28,annual_ninetieth_perc,Subtropical,11.39272684,9.546994536,13.2772249,Annual
29,annual_ninetieth_perc,Temperate,11.82031064,9.301357502,14.53423602,Annual
30,annual_ninetieth_perc,Tropical,9.133368838,7.626283532,10.77198134,Annual